length, transitions
16, 2
17, 18
17, 6
1, 2
1, 2
3, 4
3, 4
3, 2
10, 8
30, 2
20, 2
27, 22
43, 44
19, 20
27, 20
15, 16
33, 34
7, 2
37, 38
2, 2
