length, transitions
12, 115
22, 375
28, 603
32, 715
20, 265
3, 11
5, 25
10, 81
11, 121
4, 19
7, 55
7, 55
19, 271
19, 271
28, 657
21, 353
10, 81
12, 137
40, 1551
11, 91
