length, transitions
11, 61
10, 40
2, 5
38, 77
16, 64
18, 72
10, 55
7, 15
4, 16
5, 11
26, 233
33, 67
22, 88
12, 25
20, 115
10, 21
43, 87
28, 112
11, 23
4, 9
