length, transitions
8, 22
8, 22
16, 59
16, 107
5, 5
8, 22
5, 7
18, 43
17, 61
7, 19
8, 7
14, 10
17, 146
25, 223
30, 21
21, 16
8, 6
8, 7
9, 22
11, 10
