length, transitions
10, 55
5, 11
8, 31
11, 61
7, 27
10, 25
10, 55
6, 23
11, 61
14, 101
17, 151
16, 141
9, 49
12, 85
18, 187
24, 329
8, 31
14, 101
5, 11
20, 211
