length, transitions
5, 25
6, 33
20, 250
3, 12
4, 18
7, 42
17, 187
27, 432
12, 102
15, 150
29, 493
8, 52
33, 627
2, 7
2, 7
2, 7
3, 12
8, 52
28, 462
21, 273
