input_number,time_taken,
2,23147.462,
4,13476.23,
8,17142.276,
16,37826.048,
32,133204.216,
64,515241.794,
128,2004696.76,
256,7923963.678,
512,3.1710452416E7,
1024,1.27047812846E8,
2048,5.11810974274E8,
4096,2.065694762456E9,
8192,8.387743924838E9,
