length, transitions
16, 17
29, 29
11, 0
32, 33
22, 286
34, 272
5, 6
2, 3
12, 13
9, 35
21, 103
15, 8
14, 5
14, 20
50, 1472
6, 7
1, 2
8, 0
14, 98
9, 10
